fitness,algorithm,N,best_fitness,time,random_state,max_iters
OneMax,random_hill_climb,10,10.0,0.0011429786682128906,0,inf
OneMax,simulated_annealing,10,9.0,0.004384279251098633,0,inf
OneMax,genetic_alg,10,10.0,0.09717988967895508,0,inf
OneMax,mimic,10,10.0,0.1261451244354248,0,10.0
FlipFlop,random_hill_climb,10,7.0,8.392333984375e-05,0,inf
FlipFlop,simulated_annealing,10,9.0,0.0004930496215820312,0,inf
FlipFlop,genetic_alg,10,9.0,0.046401023864746094,0,inf
FlipFlop,mimic,10,9.0,0.1351022720336914,0,10.0
FourPeaks,random_hill_climb,10,18.0,0.00018405914306640625,0,inf
FourPeaks,simulated_annealing,10,18.0,0.00038814544677734375,0,inf
FourPeaks,genetic_alg,10,18.0,0.047020912170410156,0,inf
FourPeaks,mimic,10,18.0,0.12311291694641113,0,10.0
OneMax,random_hill_climb,20,19.0,0.0002319812774658203,0,inf
OneMax,simulated_annealing,20,18.0,0.0004107952117919922,0,inf
OneMax,genetic_alg,20,18.0,0.09741497039794922,0,inf
OneMax,mimic,20,20.0,0.4894421100616455,0,10.0
FlipFlop,random_hill_climb,20,18.0,0.00013113021850585938,0,inf
FlipFlop,simulated_annealing,20,17.0,0.0008678436279296875,0,inf
FlipFlop,genetic_alg,20,18.0,0.06926894187927246,0,inf
FlipFlop,mimic,20,19.0,0.5160198211669922,0,10.0
FourPeaks,random_hill_climb,20,6.0,7.081031799316406e-05,0,inf
FourPeaks,simulated_annealing,20,27.0,0.0008578300476074219,0,inf
FourPeaks,genetic_alg,20,33.0,0.07962799072265625,0,inf
FourPeaks,mimic,20,37.0,0.4884200096130371,0,10.0
OneMax,random_hill_climb,30,23.0,0.0003027915954589844,0,inf
OneMax,simulated_annealing,30,25.0,0.0010280609130859375,0,inf
OneMax,genetic_alg,30,25.0,0.10010600090026855,0,inf
OneMax,mimic,30,30.0,1.0881481170654297,0,10.0
FlipFlop,random_hill_climb,30,21.0,0.00021004676818847656,0,inf
FlipFlop,simulated_annealing,30,26.0,0.0016169548034667969,0,inf
FlipFlop,genetic_alg,30,24.0,0.10125327110290527,0,inf
FlipFlop,mimic,30,29.0,1.1702880859375,0,10.0
FourPeaks,random_hill_climb,30,9.0,0.00012803077697753906,0,inf
FourPeaks,simulated_annealing,30,49.0,0.002521991729736328,0,inf
FourPeaks,genetic_alg,30,44.0,0.07411813735961914,0,inf
FourPeaks,mimic,30,49.0,1.1037931442260742,0,10.0
OneMax,random_hill_climb,40,33.0,0.00030803680419921875,0,inf
OneMax,simulated_annealing,40,36.0,0.0007491111755371094,0,inf
OneMax,genetic_alg,40,31.0,0.09424471855163574,0,inf
OneMax,mimic,40,40.0,1.9536879062652588,0,10.0
FlipFlop,random_hill_climb,40,25.0,0.0001621246337890625,0,inf
FlipFlop,simulated_annealing,40,36.0,0.0032989978790283203,0,inf
FlipFlop,genetic_alg,40,30.0,0.0672612190246582,0,inf
FlipFlop,mimic,40,38.0,2.0396029949188232,0,10.0
FourPeaks,random_hill_climb,40,1.0,6.4849853515625e-05,0,inf
FourPeaks,simulated_annealing,40,67.0,0.004242897033691406,0,inf
FourPeaks,genetic_alg,40,56.0,0.12494277954101562,0,inf
FourPeaks,mimic,40,71.0,1.9576101303100586,0,10.0
OneMax,random_hill_climb,50,42.0,0.0003101825714111328,0,inf
OneMax,simulated_annealing,50,43.0,0.0009338855743408203,0,inf
OneMax,genetic_alg,50,38.0,0.08375406265258789,0,inf
OneMax,mimic,50,50.0,3.0674479007720947,0,10.0
FlipFlop,random_hill_climb,50,38.0,0.00026798248291015625,0,inf
FlipFlop,simulated_annealing,50,44.0,0.002814054489135742,0,inf
FlipFlop,genetic_alg,50,38.0,0.08293604850769043,0,inf
FlipFlop,mimic,50,46.0,3.0613391399383545,0,10.0
FourPeaks,random_hill_climb,50,2.0,6.29425048828125e-05,0,inf
FourPeaks,simulated_annealing,50,41.0,0.006600856781005859,0,inf
FourPeaks,genetic_alg,50,67.0,0.10114693641662598,0,inf
FourPeaks,mimic,50,67.0,3.115178108215332,0,10.0
OneMax,random_hill_climb,60,47.0,0.00045490264892578125,0,inf
OneMax,simulated_annealing,60,53.0,0.0009691715240478516,0,inf
OneMax,genetic_alg,60,43.0,0.059715986251831055,0,inf
OneMax,mimic,60,60.0,4.4318318367004395,0,10.0
FlipFlop,random_hill_climb,60,36.0,0.00023508071899414062,0,inf
FlipFlop,simulated_annealing,60,52.0,0.003114938735961914,0,inf
FlipFlop,genetic_alg,60,43.0,0.12804198265075684,0,inf
FlipFlop,mimic,60,53.0,4.624957084655762,0,10.0
FourPeaks,random_hill_climb,60,4.0,7.987022399902344e-05,0,inf
FourPeaks,simulated_annealing,60,99.0,0.014168977737426758,0,inf
FourPeaks,genetic_alg,60,76.0,0.06918692588806152,0,inf
FourPeaks,mimic,60,87.0,4.578536748886108,0,10.0
OneMax,random_hill_climb,70,51.0,0.00043487548828125,0,inf
OneMax,simulated_annealing,70,64.0,0.001251220703125,0,inf
OneMax,genetic_alg,70,52.0,0.07860112190246582,0,inf
OneMax,mimic,70,70.0,6.045345067977905,0,10.0
FlipFlop,random_hill_climb,70,53.0,0.0007760524749755859,0,inf
FlipFlop,simulated_annealing,70,58.0,0.005903720855712891,0,inf
FlipFlop,genetic_alg,70,52.0,0.1303880214691162,0,inf
FlipFlop,mimic,70,59.0,6.222774028778076,0,10.0
FourPeaks,random_hill_climb,70,0.0,7.200241088867188e-05,0,inf
FourPeaks,simulated_annealing,70,41.0,0.0159759521484375,0,inf
FourPeaks,genetic_alg,70,86.0,0.17333197593688965,0,inf
FourPeaks,mimic,70,91.0,6.222291946411133,0,10.0
OneMax,random_hill_climb,80,69.0,0.0005209445953369141,0,inf
OneMax,simulated_annealing,80,69.0,0.0010602474212646484,0,inf
OneMax,genetic_alg,80,56.0,0.09845590591430664,0,inf
OneMax,mimic,80,80.0,7.9721479415893555,0,10.0
FlipFlop,random_hill_climb,80,35.0,0.0001678466796875,0,inf
FlipFlop,simulated_annealing,80,66.0,0.0035088062286376953,0,inf
FlipFlop,genetic_alg,80,57.0,0.11754298210144043,0,inf
FlipFlop,mimic,80,67.0,8.294525861740112,0,10.0
FourPeaks,random_hill_climb,80,7.0,0.00011801719665527344,0,inf
FourPeaks,simulated_annealing,80,39.0,0.013914108276367188,0,inf
FourPeaks,genetic_alg,80,96.0,0.17921781539916992,0,inf
FourPeaks,mimic,80,93.0,8.277626991271973,0,10.0
